CustomerID,Recency,Frequency,Monetary
16910,5,547,1510.06
16912,29,101,2575.38
16923,13,672,7247.61
16929,4,77,1295.39
16931,6,857,4452.17
16933,2,44,563.23
16938,9,241,2736.38
16940,53,305,3049.88
16942,13,281,1920.59
16945,22,249,4345.5
16949,4,60,1286.27
16954,1,54,2085.08
16966,9,28,2154.97
16979,4,89,1852.0
16983,13,139,1767.76
16984,89,407,4481.35
16985,18,120,5464.12
16987,4,129,1625.05
16992,11,93,1614.31
17001,1,169,3989.57
17006,5,44,781.78
17015,29,217,1842.56
17017,3,206,7160.64
17019,12,185,913.79
17042,3,98,1044.38
17049,3,318,5659.98
17059,30,399,2372.68
17068,13,272,4385.99
17069,29,132,2432.65
17071,29,140,2429.03
17073,18,174,1446.09
17084,36,162,2949.75
17086,8,96,2050.08
17090,5,63,2043.95
17091,3,182,3534.31
17101,11,42,1621.73
17107,34,418,10815.43
17114,6,127,808.62
17119,4,35,606.91
17131,6,134,2463.17
17133,16,27,4892.24
17139,16,478,10668.47
17144,2,48,984.57
17160,32,229,3518.03
17164,33,144,2467.35
17173,6,86,3766.6
17183,8,73,3347.31
17188,12,84,2474.23
17191,29,165,1585.02
17203,36,152,3563.85
17211,27,178,2043.92
17218,5,223,1668.18
17220,25,440,2880.75
17228,16,178,1550.14
17231,13,541,3174.32
17232,3,36,421.52
17236,13,105,916.13
17238,3,506,3374.56
17243,2,389,8419.95
17250,4,57,384.52
17254,5,112,272.44
17266,3,80,310.64
17288,10,142,1419.73
17290,4,102,525.24
17293,9,135,1875.11
17306,11,66,8631.31
17314,25,131,2527.92
17315,2,473,6292.26
17321,9,107,700.86
17323,16,200,921.07
17338,18,753,6643.93
17340,30,321,9682.02
17346,4,465,2529.95
17348,15,215,1159.52
17350,9,71,1286.07
17364,1,411,4481.18
17365,13,468,4801.56
17368,24,111,1912.67
17377,24,383,3512.62
17381,9,98,16671.89
17386,8,28,2686.42
17389,1,213,31833.68
17402,5,35,2173.88
17405,2,82,1031.41
17412,3,58,1060.76
17416,30,269,6893.42
17419,12,187,3852.3
17422,17,117,1979.37
17426,9,271,5037.26
17428,1,319,16903.85
17434,3,134,2373.82
17449,3,277,2520.86
17450,9,334,192521.95
17451,2,100,1721.4
17463,17,215,1896.41
17469,17,88,1870.97
17481,4,82,1255.59
17490,1,76,2092.32
17491,2,104,3231.47
17503,3,38,558.96
17509,58,366,6115.14
17511,3,920,87591.7
17512,29,105,2924.99
17522,2,73,1070.71
17528,2,253,3628.5
17530,2,329,2084.36
17554,2,88,1952.45
17566,9,152,901.21
17567,8,138,3813.53
17576,9,399,3503.03
17579,5,50,448.9
17581,1,402,10258.26
17584,8,35,1242.3
17590,3,201,1479.22
17593,4,213,3927.34
17596,24,210,2435.31
17602,3,560,5102.97
17611,8,576,3984.22
17613,23,312,4559.15
17618,6,78,971.58
17625,19,315,2047.0
17629,6,123,1814.12
17631,2,39,528.33
17634,37,297,2361.97
17644,2,157,2895.64
17651,12,232,3945.0
17652,26,259,4867.72
17655,11,82,1962.84
17659,18,146,2751.66
17666,4,18,728.16
17668,2,15,347.75
17673,2,227,1629.12
17675,2,689,19355.16
17676,5,63,1086.98
17677,2,278,14746.63
17682,11,100,2082.83
17685,17,118,2739.01
17686,8,286,5739.46
17690,31,230,4070.05
17700,17,142,2534.64
17705,4,103,1823.52
17706,5,354,10026.66
17716,23,245,5655.99
17719,38,274,5396.04
17725,17,192,3439.08
17728,4,165,2876.01
17730,4,218,5298.48
17735,3,668,12655.42
17738,20,97,1879.05
17739,12,47,2791.35
17744,4,136,2322.4
17750,6,193,1797.57
17754,1,92,1772.26
17757,2,673,5154.84
17758,20,412,3456.7
17768,9,105,2273.18
17769,13,310,3997.98
17790,27,179,1836.7
17799,23,408,3055.93
17809,17,46,4160.41
17811,5,851,7837.73
17813,15,371,1770.88
17827,6,108,723.66
17830,2,23,398.7
17835,3,61,350.64
17841,2,7661,39450.01
17856,2,15,1418.03
17857,5,50,25543.84
17858,6,180,4904.41
17861,4,222,2100.8
17865,31,334,9769.87
17870,3,278,1567.95
17883,4,145,671.77
17884,4,53,392.83
17914,4,80,336.43
17920,5,601,3468.19
17924,12,29,2683.5
17936,6,77,389.84
17937,9,43,4301.22
17949,2,69,57196.48
17954,6,470,2204.04
17961,22,220,1168.89
17965,38,305,2465.77
17975,16,288,4174.71
18005,4,60,249.72
18041,12,362,3549.1
18044,5,127,2088.6
18055,8,313,5783.71
18065,6,116,2047.81
18069,27,470,2036.67
18075,24,142,2611.75
18077,9,208,2428.14
18092,3,79,7582.54
18096,12,213,911.15
18097,8,108,2697.8
18102,1,413,231822.69
18109,2,430,7775.52
18118,11,1128,5045.31
18122,9,364,1826.21
18139,18,159,8438.34
18144,8,40,2723.7
18145,13,221,2861.55
18161,16,80,1618.69
18172,15,189,7561.68
18179,10,90,1793.17
18180,5,119,1843.75
18188,16,71,2001.04
18198,5,159,5425.56
18210,2,134,2621.38
18219,3,101,1859.58
18223,5,272,6484.54
18225,4,269,5479.12
18226,45,242,5228.05
18229,12,154,6623.7
18230,10,86,2810.2
18237,3,61,987.1
18241,10,104,2073.09
18245,8,175,2567.06
18272,3,166,3078.58
18283,4,756,2094.88
